,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
1,0.532112484,0.235772005,-0.114273056,1.909199638,-0.447600279,0.648975293,0.278779708,-1.350176744,-1.220152387,-0.198412927,-1.773125782,-1.052774228,NA
2,0.3946164,0.214054606,0.183584928,1.840325338,-0.413261233,0.574399882,0.36724221,-1.344210137,-1.130846242,-0.059140736,-1.675584221,-1.067707346,NA
3,0.894123853,0.434621122,0.858932168,1.779581355,-0.202189859,0.722298933,0.276963839,-1.370736811,-1.205558815,0.145045521,-1.914970882,-1.092965892,NA
4,0.783298642,0.262589636,1.10565058,1.726452103,0.014127124,0.771724637,0.30845585,-1.258542927,-1.246036593,0.201896811,-1.930812204,-1.156032883,NA
5,0.553244453,-0.191311316,1.19999542,1.747862649,-0.038586931,0.613468849,0.39528549,-1.279666929,-0.774482625,0.103622147,-1.711032182,-1.063517264,NA
6,0.777259701,0.087892277,1.468506143,1.838166971,-0.462955726,0.330618359,0.3243547,-0.889418813,-0.999426834,-0.064622253,-1.451731515,-0.986342127,NA
7,0.839770514,0.174219312,1.316767297,1.829324389,-0.75377651,0.381350881,0.412718715,-0.626305578,-0.971494442,-0.204970776,-0.718663298,-0.747231852,NA
8,0.794735423,0.407787011,0.771478199,1.900851977,-0.656111748,0.374351389,0.37197652,-0.84577502,-1.116073628,-0.094772044,-1.179393292,-0.619028831,NA
9,0.60369045,0.810817426,0.52967224,1.924288787,-0.628581514,0.46051233,0.337523466,-0.934289684,-1.252733159,0.056137824,-1.363192363,-0.758542104,NA
10,0.569216172,0.865401576,0.214531667,1.813462253,-0.324695734,0.610736284,0.464469978,-1.168735308,-1.019024029,0.168254362,-1.626103313,-0.798696786,NA
11,0.185734729,0.229876097,-0.192157519,1.880239303,0.051141116,0.553747673,0.406629334,-1.318841528,-0.944237983,0.325112065,-1.924549519,-1.106717323,NA
12,0.194281057,-0.515330847,0.159467159,1.923293209,0.020276576,0.362409859,0.546427633,-1.376719609,-0.86091674,0.123967214,-1.762119604,-1.193829859,NA
13,0.185734729,-0.693425108,0.054985493,2.012344927,-0.13119421,0.18924843,0.671493844,-1.368687407,-0.939978542,-0.103243821,-1.57844123,-1.182194165,NA
14,0.14798115,-0.808041538,-0.038649458,2.039142923,-0.179811274,0.254891197,0.730325848,-1.402393822,-1.134281468,-0.213473478,-1.644803112,-1.146935344,NA
15,0.066679505,-0.583221144,0.814040015,1.996250391,-0.354052439,0.249193351,0.858638047,-1.410972085,-1.30535713,-0.217314584,-1.316751549,-1.050615827,NA
16,0.249570353,0.03467576,0.65123735,1.970850963,-0.44018577,0.448955586,0.777648373,-1.394856911,-1.386180078,-0.109320756,-1.329981645,-0.936163614,NA
17,0.150290874,0.554271402,0.498315124,1.895563472,-0.39663631,0.68236443,0.72615326,-1.386896807,-1.241511502,0.008420702,-1.307162279,-0.793556904,NA
18,0.116430581,0.099788246,0.660921176,1.994710622,-0.462850904,0.711898584,0.502159374,-1.290962448,-0.923844445,0.259997419,-1.150288011,-0.808153687,NA
19,0.143664176,-0.051250281,0.11855798,2.03880082,-0.614428616,0.584437398,0.328996379,-1.330762041,-0.372936676,0.096242199,-1.660276937,-0.904678785,NA
20,-0.021957,-0.010281601,0.062333416,1.942735458,-0.440825323,0.229004924,0.234482627,-1.012203569,-0.441766472,-0.06962537,-1.811124141,-1.089086917,NA
21,0.388660046,-0.071752342,0.506258033,1.895622839,-0.352803386,0.129150774,0.085712106,-1.022308894,-0.824796302,-0.026403701,-1.868731803,-1.084228785,NA
22,0.459490538,0.323786074,0.496970179,1.800742904,-0.210121609,0.116612652,0.143994996,-1.122434111,-1.317451799,-0.099869989,-1.720990448,-1.056309116,NA
23,0.502824617,0.394485271,0.68291357,1.717876781,-0.066665577,0.347276282,0.164746679,-1.124873802,-1.252343546,0.122634464,-1.638074486,-1.006160571,NA
24,0.682404837,0.690410427,0.889920604,1.776827975,-0.044901265,0.451653974,0.159471451,-1.410030839,-1.361365244,0.446334841,-1.677393855,-0.90576332,NA
25,0.553244453,1.006391083,0.976848018,1.868847432,0.068540267,0.618574437,0.330954088,-1.47806411,-1.150256271,0.425386627,-1.807318521,-0.959136351,NA
26,0.455643281,0.888870357,1.159526265,1.887486109,0.279710088,0.660864024,0.45928956,-1.421582289,-1.000107882,0.272189378,-1.72015192,-0.760502548,NA
27,0.432086264,0.800444562,1.013945963,1.973183923,0.332392556,0.432943343,0.492021029,-1.466608964,-1.053899964,-0.054988382,-1.637877784,-0.918000813,NA
28,0.279338119,0.882166927,1.080374874,1.934467847,0.259968102,0.600752175,0.470894434,-1.42365026,-0.934359182,0.045188708,-1.433695728,-0.932613385,NA
29,0.321166303,0.700839974,0.900231014,1.939861808,-0.020365329,0.533327685,0.427199247,-1.469293099,-1.065250498,-0.047139486,-1.341975361,-0.911730173,NA
30,0.861557352,0.726719275,0.422383367,1.869531374,-0.25108911,0.475425267,0.421401961,-1.500543469,-1.125982938,0.049324178,-1.589591466,-1.033800369,NA
31,1.316978958,0.480081793,0.551341027,1.751266152,-0.028358057,0.677656027,0.613420492,-1.405482495,-1.051476846,0.368081812,-1.498105802,-0.91454965,NA
32,1.493721355,0.35426955,0.308569599,1.6732538,-0.32107688,0.280818075,0.609180622,-1.401900026,-1.119534278,0.19231034,-1.557674506,-0.915495596,NA
33,0.894123853,0.228937941,0.542730601,1.513635987,-0.161375658,0.350167312,0.674024733,-1.305442764,-1.013245402,0.169919936,-1.682068327,-0.956122606,NA
34,0.894123853,0.055454393,0.55562717,1.822005565,-0.231773709,0.370548497,0.780228131,-1.334336299,-0.79078227,0.001840387,-1.597806809,-0.892750029,NA
35,0.982691604,0.069083361,0.530282856,1.932873198,-0.259248087,0.461385953,0.626169272,-1.100304666,-0.616251695,-0.029982408,-1.849860593,-1.078767743,NA
36,0.682404837,-0.131169291,0.964407294,1.973274523,0.1405659,0.874924631,0.633571204,-1.080144812,-0.791730527,-0.005905885,-1.789879693,-1.101769413,NA
37,0.342823377,-0.171921434,0.912557733,1.995253994,0.108426662,0.924797844,0.600282951,-0.930977721,-0.850576199,0.083799056,-1.466986335,-1.102682663,NA
38,0.342823377,-0.05219361,0.541894889,2.013447382,0.150476208,0.947506046,0.512437793,-0.673176956,-0.835725437,0.188478959,-1.406867901,-1.187853938,NA
39,0.279338119,0.403428597,0.814040015,2.024400574,0.050064009,0.66881995,0.40431626,-0.708126196,-1.005523548,0.03791345,-1.131522668,-1.175719118,NA
40,0.35197834,0.671028447,0.307304655,1.968380765,0.017722615,0.25339437,0.374190292,-0.796936798,-0.874018146,-0.125292085,-0.304347678,-1.102881346,NA
41,0.839770514,0.692991426,0.242095669,1.947130028,0.134776482,0.054892762,0.343635244,-0.9902225,-0.930894981,-0.161852843,-0.36873798,-1.044600931,NA
42,0.64125165,0.225959437,0.307873013,1.806743386,0.101241444,0.238434439,0.420604559,-1.294044424,-1.059668907,-0.203484036,-0.448035219,-1.059667376,NA
43,0.777259701,-0.188534177,-0.070534827,1.834980273,0.297489986,0.278626606,0.574175005,-1.524781761,-1.174793699,-0.11485849,-0.639036526,-1.09374006,NA
44,0.832498564,-0.335794994,0.934680345,1.929091704,0.03504711,0.389433635,0.670036384,-1.292965785,-1.167481163,0.086890996,-1.08729338,-1.151619249,NA
45,0.634829913,0.115105399,1.171404384,2.002453104,-0.137380726,0.51761781,0.763405085,-1.185443582,-1.044132793,0.072457537,-1.081799714,-1.166638709,NA
46,0.65012517,0.287006659,1.286432731,2.154586117,-0.362183027,0.290827943,0.730488376,-1.140964849,-0.990990342,0.190223059,-1.059136537,-1.136546766,NA
47,0.552884226,0.473736743,1.005265091,2.069951047,-0.848781639,0.175067148,0.870342115,-0.91754304,-0.847097585,0.180281974,-1.194292879,-1.138927889,NA
48,0.569216172,0.607567039,0.593623414,2.055332946,-0.863478095,-0.018696457,0.845146693,-1.045349831,-0.828771214,0.142115134,-1.38058322,-1.186778996,NA
49,0.57641487,0.30540494,0.460308444,1.962604086,-0.939136346,-0.247264409,0.609645598,-1.127746009,-0.810578299,0.159530423,-1.364871825,-1.222195031,NA
50,0.554414255,0.120889529,0.144610175,1.939956471,-0.732929441,-0.148710055,0.571295879,-1.056654063,-0.887083292,0.236253135,-1.639016244,-1.237293,NA
