,start,stop,mid,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13,
1,1,10001,5001,0.066711156,-0.256303826,-0.440455185,1.74943169,-0.459716264,0.279728276,0.069103634,-1.513341712,-1.367353572,-0.121717495,-1.422015817,-1.323696209,NA,
2,2501,12501,7501,-0.108610956,-0.3084716,-0.100331575,1.535052066,-0.479971395,0.261590163,0.14534832,-1.504646648,-1.297967887,0.032266618,-1.3320498,-1.342041547,NA,
3,5001,15001,10001,0.512954243,-0.077905386,0.581938538,1.357189807,-0.388983766,0.320163988,0.060604921,-1.539648179,-1.339633023,0.266646273,-1.560422513,-1.371752977,NA,
4,7501,17501,12501,0.352512054,-0.278786247,0.901939054,1.347915781,-0.377956945,0.349477231,0.103854683,-1.433286429,-1.359281794,0.329417056,-1.572215584,-1.44770745,NA,
5,10001,20001,15001,0.085429653,-0.534586721,0.967035993,1.365881649,-0.337840301,0.097337349,0.181011716,-1.455475147,-0.981850688,0.26156854,-1.381934073,-1.347588227,NA,
6,12501,22501,17501,0.362864505,-0.24095664,1.196631042,1.551641222,-0.522718219,-0.205854936,0.112724925,-1.12912326,-1.124409653,0.048795154,-1.126505994,-1.284748898,NA,
7,15001,25001,20001,0.42811846,-0.107243557,1.091441146,1.679941959,-0.525895339,-0.229326799,0.219771296,-0.913573218,-1.081473287,-0.153255996,-0.463755426,-1.000462675,NA,
8,17501,27501,22501,0.395403394,0.013294339,0.494912808,1.792118974,-0.357026655,-0.049620531,0.175813319,-1.112343585,-1.246970734,0.00265698,-0.911978143,-0.858923216,NA,
9,20001,30001,25001,0.142706153,0.246481339,0.286706317,1.761195438,-0.369215269,0.07741409,0.141040256,-1.179166573,-1.368682273,0.15849982,-1.082149087,-1.013066831,NA,
10,22501,32501,27501,0.099372139,0.149538941,-0.032362985,1.412129445,-0.217071667,0.259916416,0.282774666,-1.380486395,-1.225079112,0.290974129,-1.352006641,-1.037549287,NA,
11,25001,35001,30001,-0.359233327,-0.33036426,-0.465394795,1.423185335,-0.152586648,0.282953924,0.225907997,-1.496939764,-1.156415395,0.425312721,-1.654356666,-1.389167836,NA,
12,27501,37501,32501,-0.354880948,-0.728079822,-0.113496942,1.470122397,-0.20171319,0.091903516,0.392306207,-1.539686176,-1.115840911,0.191586801,-1.525595538,-1.48468637,NA,
13,30001,40001,35001,-0.359233327,-0.830505341,-0.218551542,1.67092679,-0.320047682,-0.064578956,0.493488981,-1.55023993,-1.192950148,-0.05828829,-1.349174478,-1.474098191,NA,
14,32501,42501,37501,-0.407291083,-0.83054018,-0.315103853,1.804837038,-0.300426116,-0.091974413,0.553656462,-1.578934569,-1.332092565,-0.187327375,-1.411786395,-1.445056308,NA,
15,35001,45001,40001,-0.509549884,-0.584932662,0.5464885,1.668571735,-0.403921212,-0.094252767,0.692089516,-1.591395367,-1.474852757,-0.154129466,-1.099755253,-1.353310442,NA,
16,37501,47501,42501,-0.285412306,-0.022270475,0.411769884,1.657021252,-0.398820934,0.105809084,0.601203957,-1.578457348,-1.489463753,-0.026834296,-1.110149952,-1.24418386,NA,
17,40001,50001,45001,-0.409733252,0.490392686,0.271573479,1.466525349,-0.347456298,0.322869084,0.571718145,-1.565333261,-1.325360504,0.086727706,-1.061424447,-1.107863859,NA,
18,42501,52501,47501,-0.447174628,0.137624207,0.453341346,1.714370941,-0.404244559,0.453887268,0.348824383,-1.484192019,-1.054798151,0.339183017,-0.921912256,-1.120978927,NA,
